LEVEL1_FK,LEVEL2_FK,DESCRIPT,DESCRIPT2,MODELNUM,INVNUM
20001,2572001,"4 RACTCHET                                                                                                                                                                                             ""	RATCHET TOOLS-HAND SNAP-ON 1938; 4 RACTCHET""",1938,32642-2,
20001,2598001,TAPE MESURE,TAPE TOOLS-HAND MILWAUKEE 10-15-0982; TAPE MESURE,10-15-0982,134646-1
20001,2580001,27PC SCREWDRIVER SET,SCREWDRIVER TOOLS-HAND GRIP-TITE 00217; 27PC SCREWDRIVER SET,217,31325-9
10001,3717001,BEACH CHAIR,CHAIR HOUSEHOLD MERCEDES-BENZ; BEACH CHAIR,,134193-1
12001,2887001,EARRING PENDENT SET,"OTHER JEWELRY NONE, 14KT, 3.20 Grams; EARRING PENDENT SET",,I-900
20001,2543001,DRILL BIT SET,DRILL BIT SET TOOLS-HAND CRAFTSMAN; DRILL BIT SET,,134368-2
20001,2585001,"3/8 DIGITAL TOQUE WRENCH                                                                                                                                                                               ""	SOCKET TOOLS-HAND CRAFTSMAN 913918; 3/8 DIGITAL TOQUE WRENCH""",913918,31873-3,
12001,1,GOLD 10K SCRAP,"JEWELRY, 10KT; GOLD 10K SCRAP",,I-25
12001,1,GOLD 14K SCRAP,"JEWELRY, 14KT; GOLD 14K SCRAP",,I-23
18001,2879001,"6'2 WHITE SURFBOARD                                                                                                                                                                                    ""	SURFBOARD SPORTING EQUIPMENT COBALT; 6'2 WHITE SURFBOARD""",,30143-1,
